INFO 2025-02-25 14:02:19,064 views: Viewing Index Page, IP: 127.0.0.1
INFO 2025-02-25 14:02:26,566 views: Viewing Book წყალში by პოლა ჰოკინსი, IP: 127.0.0.1
INFO 2025-02-25 14:02:32,636 views: Viewing Index Page, IP: 127.0.0.1
INFO 2025-02-25 14:03:06,334 views: Started Registering User, IP: 127.0.0.1
INFO 2025-02-25 14:03:19,724 views: Started Registering User, IP: 127.0.0.1
INFO 2025-02-25 14:03:20,531 views: Registered user 'aksdkasjfjsddfjdsf', IP: 127.0.0.1
INFO 2025-02-25 14:03:20,540 views: Viewing Index Page, IP: 127.0.0.1
INFO 2025-02-25 14:03:28,776 views: Started Login, IP: 127.0.0.1
INFO 2025-02-25 14:03:38,847 views: Started Login, IP: 127.0.0.1
INFO 2025-02-25 14:03:40,190 views: Logged in user 'akaki', IP: 127.0.0.1
INFO 2025-02-25 14:03:40,200 views: Viewing Index Page, IP: 127.0.0.1
INFO 2025-02-25 14:05:02,923 views: Started Adding Book, IP: 127.0.0.1
INFO 2025-02-25 14:05:16,005 views: Started Adding Book, IP: 127.0.0.1
INFO 2025-02-25 14:05:16,013 views: Added Book: fdsfsdfsdf by sdfsdfsdf, IP: 127.0.0.1
INFO 2025-02-25 14:05:16,028 views: Viewing Index Page, IP: 127.0.0.1
INFO 2025-02-25 14:05:30,142 views: Viewing Index Page, IP: 127.0.0.1
INFO 2025-02-25 14:05:30,142 views: Search Title: წყალში, IP: 127.0.0.1
INFO 2025-02-25 14:05:30,240 views: Books found: 1
INFO 2025-02-25 14:07:30,316 views: Viewing Index Page, IP: 127.0.0.1
INFO 2025-02-25 14:07:30,316 views: Search Author: სპილოებს, IP: 127.0.0.1
INFO 2025-02-25 14:07:30,399 views: Books found: 0
INFO 2025-02-25 14:08:26,957 views: Viewing Index Page, IP: 127.0.0.1
INFO 2025-02-25 14:08:26,958 views: Search Title: სპილოებს, Search Author: აგათა, IP: 127.0.0.1
INFO 2025-02-25 14:08:27,051 views: Books found: 0
INFO 2025-02-25 14:08:33,596 views: Viewing Index Page, IP: 127.0.0.1
INFO 2025-02-25 14:08:57,158 views: Viewing Index Page, IP: 127.0.0.1
INFO 2025-02-25 14:09:28,547 views: Viewing Book fdsfsdfsdf by sdfsdfsdf, IP: 127.0.0.1
INFO 2025-02-25 14:09:30,513 views: Started Editing Book fdsfsdfsdf by sdfsdfsdf, IP: 127.0.0.1
INFO 2025-02-25 14:09:34,050 views: Started Editing Book fdsfsdfsdf by sdfsdfsdf, IP: 127.0.0.1
INFO 2025-02-25 14:09:34,064 views: Edited Book fdsfsdfsdf by sdfsdfsdf, IP: 127.0.0.1
INFO 2025-02-25 14:09:34,183 views: Viewing Book fdsfsdfsdf by sdfsdfsdf, IP: 127.0.0.1
INFO 2025-02-25 14:09:48,167 views: Started Deleting Book fdsfsdfsdf by sdfsdfsdf, IP: 127.0.0.1
INFO 2025-02-25 14:09:48,167 views: Deleted Book fdsfsdfsdf by sdfsdfsdf, IP: 127.0.0.1
INFO 2025-02-25 14:09:48,184 views: Viewing Index Page, IP: 127.0.0.1
INFO 2025-02-25 14:10:10,448 views: Viewing Index Page, IP: 127.0.0.1
INFO 2025-02-25 14:10:16,198 views: Viewing Book წყალში by პოლა ჰოკინსი, IP: 127.0.0.1
INFO 2025-02-25 14:10:26,490 views: Viewing Index Page, IP: 127.0.0.1
INFO 2025-02-25 14:10:38,588 views: Viewing Index Page, IP: 127.0.0.1
INFO 2025-02-25 14:11:43,062 views: Viewing Index Page, IP: 127.0.0.1
INFO 2025-02-25 14:12:41,438 views: Viewing Book წყალში by პოლა ჰოკინსი, IP: 127.0.0.1
INFO 2025-02-25 14:12:49,034 views: Logging out user 'akaki', IP: 127.0.0.1
INFO 2025-02-25 14:12:49,040 views: Logged out user, IP: 127.0.0.1
INFO 2025-02-25 14:12:49,046 views: Viewing Index Page, IP: 127.0.0.1
